symbol,date,news_volume,news_tone
ETHUSDT,2021-07-17,5,-1.9157560086175223
ETHUSDT,2021-07-18,8,-0.72292813614910778
ETHUSDT,2021-07-19,11,1.4290567842724837
ETHUSDT,2021-07-20,16,0.40319261972915837
ETHUSDT,2021-07-21,30,0.92795279067653691
ETHUSDT,2021-07-22,27,0.83906256981122
ETHUSDT,2021-07-23,25,1.8205271927919082
ETHUSDT,2021-07-24,7,1.0435387545537971
ETHUSDT,2021-07-25,8,1.3111883133740763
ETHUSDT,2021-07-26,42,2.2186407213739616
ETHUSDT,2021-07-27,9,0.97652822862978528
ETHUSDT,2021-07-28,18,-0.10301961483014968
ETHUSDT,2021-07-29,20,1.2401570524539762
ETHUSDT,2021-07-30,30,0.28024194257078472
ETHUSDT,2021-07-31,6,0.8485302678636597
ETHUSDT,2021-08-01,4,-1.7229593972412325
ETHUSDT,2021-08-02,6,0.79850409683068768
ETHUSDT,2021-08-03,19,0.080332575603895062
ETHUSDT,2021-08-04,20,1.435520590030432
ETHUSDT,2021-08-05,49,0.18532089626010756
ETHUSDT,2021-08-06,27,-0.45445962973556997
ETHUSDT,2021-08-07,7,0.39972402227358034
ETHUSDT,2021-08-08,8,-0.94461217785100371
ETHUSDT,2021-08-09,13,-0.31549331082677851
ETHUSDT,2021-08-10,13,-0.40019500325967505
ETHUSDT,2021-08-11,44,-3.4756405240421682
ETHUSDT,2021-08-12,23,0.34493033111967819
ETHUSDT,2021-08-13,25,4.2965285299961238
ETHUSDT,2021-08-14,8,0.48441284384494721
ETHUSDT,2021-08-15,3,1.282900285780348
ETHUSDT,2021-08-16,17,0.28244411082936
ETHUSDT,2021-08-17,11,0.29878750633676393
ETHUSDT,2021-08-18,14,1.1037297364227352
ETHUSDT,2021-08-19,17,0.0065763690015307186
ETHUSDT,2021-08-20,26,-0.34101272977125419
ETHUSDT,2021-08-21,3,0.22099144549243332
ETHUSDT,2021-08-22,4,0.55800138607571237
ETHUSDT,2021-08-23,22,1.2805084061676988
ETHUSDT,2021-08-24,40,2.7953821408754833
ETHUSDT,2021-08-25,22,1.9449577459254859
ETHUSDT,2021-08-26,29,0.863307783779347
ETHUSDT,2021-08-27,25,-0.099565117686158333
ETHUSDT,2021-08-28,14,-0.37328434690088441
ETHUSDT,2021-08-29,10,0.69775810342266387
ETHUSDT,2021-08-30,35,1.0908835229680123
ETHUSDT,2021-08-31,27,1.51326476138172
ETHUSDT,2021-09-01,38,0.46300082699762279
ETHUSDT,2021-09-02,22,1.2694120867279917
ETHUSDT,2021-09-03,28,0.49556553742246234
ETHUSDT,2021-09-04,12,1.545036973264823
ETHUSDT,2021-09-05,9,0.10323811980196401
ETHUSDT,2021-09-06,38,-0.31937888404983816
ETHUSDT,2021-09-07,71,-1.8804884995188589
ETHUSDT,2021-09-08,100,-2.0564309471294244
ETHUSDT,2021-09-09,25,0.177909290295027
ETHUSDT,2021-09-10,17,0.94089470955251242
ETHUSDT,2021-09-11,5,0.47245867368457634
ETHUSDT,2021-09-12,3,-0.78075659972211664
ETHUSDT,2021-09-13,20,0.73588046906744353
ETHUSDT,2021-09-14,21,1.2549001300871507
ETHUSDT,2021-09-15,29,2.1740821461651021
ETHUSDT,2021-09-16,21,1.18639259996474
ETHUSDT,2021-09-17,22,1.2074621079053953
ETHUSDT,2021-09-18,7,0.25863825365349297
ETHUSDT,2021-09-19,2,1.0357738251057449
ETHUSDT,2021-09-20,26,0.68456689547205973
ETHUSDT,2021-09-21,25,-0.26016528129282385
ETHUSDT,2021-09-22,12,1.5447693861180187
